ts_code,trade_date,fwd_open,fwd_high,fwd_low,fwd_close,fwd_pre_close,bwd_open,bwd_high,bwd_low,bwd_close,bwd_pre_close,vol,amount,pct_chg,change
600519.SH,20230802,1692.0823,1698.0119,1677.1685,1689.0277,1697.1134,14630.2512,14681.52,14501.3024,14603.84,14673.752,18508.72,3478674.239,-0.4764,-9.0
600519.SH,20230801,1687.2398,1713.2401,1687.132,1697.1134,1689.5488,14588.3817,14813.1876,14587.4495,14673.752,14608.3454,19230.62,3635857.283,0.4477,8.42
600519.SH,20230731,1714.1834,1738.4407,1683.6372,1689.5488,1704.3008,14821.344,15031.08,14557.232,14608.3454,14735.896,45378.61,8615279.839,-0.8656,-16.42
600519.SH,20230728,1645.9036,1706.9961,1642.3189,1704.3008,1651.321,14230.976,14759.2,14199.9817,14735.896,14277.817,39017.92,7330314.112,3.2083,58.97
600519.SH,20230727,1649.4972,1666.3785,1642.9388,1651.321,1642.804,14262.048,14408.0087,14205.3416,14277.817,14204.1764,20340.43,3749635.29,0.5184,9.48
600519.SH,20230726,1642.804,1649.4883,1630.7023,1642.804,1642.804,14204.1764,14261.9703,14099.5414,14204.1764,14204.1764,19611.45,3580171.484,0.0,0.0
600519.SH,20230725,1617.1542,1643.1005,1617.1452,1642.804,1591.2348,13982.4,14206.7398,13982.3223,14204.1764,13758.2932,43086.46,7837450.019,3.2408,57.4
600519.SH,20230724,1572.7004,1591.2348,1572.7004,1591.2348,1591.3695,13598.0394,13758.2932,13598.0394,13758.2932,13759.4584,19713.37,3476648.177,-0.0085,-0.15
600519.SH,20230721,1555.9539,1592.4476,1550.6712,1591.3695,1548.8743,13453.2438,13768.78,13407.568,13759.4584,13392.032,39377.4,6931535.726,2.7436,47.3
600519.SH,20230720,1552.459,1571.3168,1547.0775,1548.8743,1547.9759,13423.0263,13586.0766,13376.496,13392.032,13384.264,16692.65,2897176.49,0.058,1.0
600519.SH,20230719,1540.7975,1552.468,1539.7104,1547.9759,1547.7962,13322.1977,13423.104,13312.7984,13384.264,13382.7104,12483.22,2147704.435,0.0116,0.2
