ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600519.SH,20230620,1743.46,0.1667,0.3814,0.74,34.9212,33.0504,10.0338,17.6481,16.7749,2.4999,2.4999,125619.78,125619.78,54925.3243,219013061.6388,219013061.6388
600519.SH,20230619,1744.0,0.2523,0.5771,1.16,34.932,33.0607,10.0369,17.6536,16.7801,2.4991,2.4991,125619.78,125619.78,54925.3243,219080896.32,219080896.32
600519.SH,20230616,1797.69,0.3018,0.6904,1.63,36.0074,34.0784,10.3459,18.1971,17.2967,2.4245,2.4245,125619.78,125619.78,54925.3243,225825422.3082,225825422.3082
600519.SH,20230615,1755.0,0.2008,0.4592,1.2,35.1523,33.2692,10.1002,17.7649,16.8859,2.4835,2.4835,125619.78,125619.78,54925.3243,220462713.9,220462713.9
600519.SH,20230614,1726.88,0.2508,0.5736,1.71,34.5891,32.7361,9.9384,17.4803,16.6154,2.5239,2.5239,125619.78,125619.78,54925.3243,216930285.6864,216930285.6864
600519.SH,20230613,1699.0,0.1167,0.267,0.75,34.0306,32.2076,9.7779,17.1981,16.3471,2.5653,2.5653,125619.78,125619.78,54925.3243,213428006.22,213428006.22
600519.SH,20230612,1696.0,0.2152,0.4921,1.57,33.9705,32.1507,9.7606,17.1677,16.3183,2.5699,2.5699,125619.78,125619.78,54925.3243,213051146.88,213051146.88
600519.SH,20230609,1666.0,0.1399,0.3201,0.94,33.3696,31.582,9.588,16.864,16.0296,2.6161,2.6161,125619.78,125619.78,54925.3243,209282553.48,209282553.48
600519.SH,20230608,1668.0,0.117,0.2677,0.68,33.4097,31.6199,9.5995,16.8843,16.0489,2.613,2.613,125619.78,125619.78,54925.3243,209533793.04,209533793.04
600519.SH,20230607,1650.9,0.1424,0.3257,0.71,33.0672,31.2958,9.5011,16.7112,15.8843,2.6401,2.6401,125619.78,125619.78,54925.3243,207385694.802,207385694.802
600519.SH,20230606,1666.99,0.1585,0.3626,0.75,33.3895,31.6008,9.5937,16.8741,16.0391,2.6146,2.6146,125619.78,125619.78,54925.3243,209406917.0622,209406917.0622
600519.SH,20230605,1665.0,0.129,0.295,0.6,33.3496,31.5631,9.5822,16.8539,16.02,2.6177,2.6177,125619.78,125619.78,54925.3243,209156933.7,209156933.7
600519.SH,20230602,1670.6,0.1995,0.4562,0.98,33.4618,31.6692,9.6145,16.9106,16.0739,2.6089,2.6089,125619.78,125619.78,54925.3243,209860404.468,209860404.468
600519.SH,20230601,1635.92,0.228,0.5215,1.17,32.7671,31.0118,9.4149,16.5596,15.7402,2.6643,2.6643,125619.78,125619.78,54925.3243,205503910.4976,205503910.4976
