ts_code,trade_date,adj_factor
601988.SH,20220923,2.1741
601988.SH,20220922,2.1741
601988.SH,20220921,2.1741
601988.SH,20220920,2.1741
601988.SH,20220919,2.1741
601988.SH,20220916,2.1741
601988.SH,20220915,2.1741
601988.SH,20220914,2.1741
601988.SH,20220913,2.1741
601988.SH,20220909,2.1741
601988.SH,20220908,2.1741
601988.SH,20220907,2.1741
601988.SH,20220906,2.1741
601988.SH,20220905,2.1741
601988.SH,20220902,2.1741
601988.SH,20220901,2.1741
601988.SH,20220831,2.1741
601988.SH,20220830,2.1741
601988.SH,20220829,2.1741
601988.SH,20220826,2.1741
601988.SH,20220825,2.1741
601988.SH,20220824,2.1741
601988.SH,20220823,2.1741
601988.SH,20220822,2.1741
601988.SH,20220819,2.1741
601988.SH,20220818,2.1741
601988.SH,20220817,2.1741
601988.SH,20220816,2.1741
601988.SH,20220815,2.1741
601988.SH,20220812,2.1741
601988.SH,20220811,2.1741
601988.SH,20220810,2.1741
601988.SH,20220809,2.1741
601988.SH,20220808,2.1741
601988.SH,20220805,2.1741
601988.SH,20220804,2.1741
601988.SH,20220803,2.1741
601988.SH,20220802,2.1741
601988.SH,20220801,2.1741
601988.SH,20220729,2.1741
601988.SH,20220728,2.1741
601988.SH,20220727,2.1741
601988.SH,20220726,2.1741
601988.SH,20220725,2.1741
